Feature,Category,Functionality / Description,Status,Notes
Admin Home Dashboard,Admin,Landing page with overview stats and quick client picker,Completed,Live in nav
Unified Client View,Admin,Per-client workspace: overview/tasks/deliverables/messages/projects tabs,Completed,Live in nav
Client Management,Admin,Add/edit clients; onboarding phase tracker and new-client checklist,Completed,Live in nav
Client Projects (Admin),Admin,Track project scopes and milestones per client,Completed,Live in nav
Client Workflows,Admin,View/manage onboarding and automation workflow steps per client,Completed,Live in nav
SEO Hub,Admin,Cross-client SEO score dashboard plus per-client WordPress plugin scan/fix flow,Completed,Live in nav; merges SEO + WordPress Plugin views
Content Review & Deliverables,Admin,Approve/reject AI-drafted content; separate queue for uploaded deliverables,Completed,Live in nav
Social Media Posts (Admin),Admin,Compose/schedule/publish posts to LinkedIn/Facebook/Instagram/Twitter via Post for Me,Completed,Live in nav
Email Centre,Admin,Send/manage client emails; AI email template generation; queue processing,Completed,Live in nav
Reports Review,Admin,Review and send AI-generated client reports,Completed,Live in nav
Leads Hub - Inbound,Admin,Contact form + Gap Analysis + PDF-download leads; invite lead to client portal,Completed,Live in nav
Leads Hub - Outbound (Prospect Engine),Admin,AI-discovered outbound prospect list with admin approval queue before outreach,Completed,Live in nav
Leads Hub - Pipeline,Admin,Sales pipeline dashboard showing leads by stage,Completed,Live in nav
Leads Hub - Lead Scoring,Admin,AI-generated lead quality/insight scoring,Completed,Live in nav
Sales Hub - Proposals,Admin,Build/send AI sales proposals with industry analysis and ROI projections,Completed,Live in nav
Sales Hub - Case Studies,Admin,AI-generated case study builder from client results,Completed,Live in nav
Sales Hub - Before/After Showcase,Admin,Before/after website screenshots and score comparisons for sales use,Completed,Live in nav
Brand Assets (Admin),Admin,Extract and store client brand guidelines: logo, colors, voice,Completed,Live in nav
Admin Settings,Admin,Platform/admin configuration panel,Completed,Live in nav
AI Copilot,Admin,Always-visible AI assistant that can navigate admin to relevant sections,Completed,Live on every screen
Feature Guide / Help,Admin,In-app help and tour system for admin users,Completed,Live in nav
Integrations Config,Admin,Configure and test third-party API keys (social platforms etc.),Pending,Built and functional but not linked from current sidebar nav - needs relinking decision
AI Quality Assurance,Admin,Automated site scan for broken links/spelling/accessibility/mobile issues with AI auto-fix,Pending,Fully built incl. AI auto-fix but no sidebar entry point - orphaned
Website Personalization,Admin,Rules engine intended to show different headlines/CTAs per visitor segment,Pending,Admin CRUD works but no marketing-site code reads the rules table - has zero effect on the live site today
AI Ad Generator,Admin,Generate ad copy/creative for paid campaigns,Pending,Built and functional but orphaned from sidebar nav
